game_id,season,week,season_type,team,opponent,is_home,n_plays,epa_sum,epa_per_play
2011_05_SD_DEN,2011,5,REG,DEN,LAC,1,47,-3.3908,-0.072144
2011_05_SD_DEN,2011,5,REG,LAC,DEN,0,77,2.5949,0.0337
2011_05_SEA_NYG,2011,5,REG,NYG,SEA,1,71,-12.816,-0.180507
2011_05_SEA_NYG,2011,5,REG,SEA,NYG,0,76,-1.5501,-0.020395
2011_05_TB_SF,2011,5,REG,SF,TB,1,59,21.0081,0.356069
2011_05_TB_SF,2011,5,REG,TB,SF,0,62,-17.2921,-0.278905
2011_05_TEN_PIT,2011,5,REG,PIT,TEN,1,66,22.6438,0.343088
2011_05_TEN_PIT,2011,5,REG,TEN,PIT,0,73,-3.0686,-0.042036
2011_06_BUF_NYG,2011,6,REG,BUF,NYG,0,56,7.7293,0.138022
2011_06_BUF_NYG,2011,6,REG,NYG,BUF,1,67,16.9154,0.252469
2011_06_CAR_ATL,2011,6,REG,ATL,CAR,1,62,17.4472,0.281406
2011_06_CAR_ATL,2011,6,REG,CAR,ATL,0,62,6.4883,0.104649
2011_06_CLE_OAK,2011,6,REG,CLE,LV,0,71,-3.9951,-0.05627
2011_06_CLE_OAK,2011,6,REG,LV,CLE,1,69,1.8871,0.027349
2011_06_DAL_NE,2011,6,REG,DAL,NE,0,72,-2.642,-0.036694
2011_06_DAL_NE,2011,6,REG,NE,DAL,1,72,0.6838,0.009498
2011_06_HOU_BAL,2011,6,REG,BAL,HOU,1,64,7.3012,0.114081
2011_06_HOU_BAL,2011,6,REG,HOU,BAL,0,68,-4.9367,-0.072598
2011_06_IND_CIN,2011,6,REG,CIN,IND,1,65,6.1958,0.095319
2011_06_IND_CIN,2011,6,REG,IND,CIN,0,59,-6.5037,-0.110232
2011_06_JAX_PIT,2011,6,REG,JAX,PIT,0,62,-7.9973,-0.128989
2011_06_JAX_PIT,2011,6,REG,PIT,JAX,1,59,5.9021,0.100036
2011_06_MIA_NYJ,2011,6,REG,MIA,NYJ,0,63,-20.4901,-0.32524
