date,game_pk,first_pitch_utc,p_sim_home,p_market_home,p_blend_home,proj_home_runs,proj_away_runs,mean_total,mkt_total,park_factor,starter_stab_diff,starter_min_ip,bullpen_diff,woba_flag,wx_present,best_price_delta,engine_version,home_won
2026-08-05,824806,2026-08-05T22:35:00Z,0.531,0.5313,0.5311,4.5,4.2,8.7,8.0,1.0,-0.17,109.2,0.23,0,0,,0.11-best-of-board,1
2026-08-05,824889,2026-08-05T23:15:00Z,0.5322,0.5376,0.5349,4.6,4.2,8.9,8.5,1.0,-0.31,104.2,0.44,0,1,,0.11-best-of-board,1
2026-08-05,825052,2026-08-06T01:40:00Z,0.4827,0.4604,0.4715,4.3,4.6,9.0,9.0,1.05,-1.43,20.2,-0.44,0,1,,0.11-best-of-board,1
2026-08-06,823105,2026-08-06T20:10:00Z,0.503,0.544,0.5235,3.9,3.9,7.7,8.0,0.92,0.53,74.0,0.13,0,1,,0.11-best-of-board,0
2026-08-06,823430,2026-08-06T22:05:00Z,0.5371,0.744,0.6405,5.1,4.6,9.7,9.0,1.01,2.13,108.0,0.52,0,1,,0.11-best-of-board,1
2026-08-06,823754,2026-08-06T18:10:00Z,0.5135,0.5457,0.5296,4.7,4.6,9.3,7.5,0.99,-0.04,109.0,0.71,0,1,,0.11-best-of-board,1
2026-08-06,824080,2026-08-06T23:40:00Z,0.4953,0.5343,0.5148,4.8,4.8,9.6,9.0,1.03,0.55,87.0,-0.42,1,1,,0.11-best-of-board,0
2026-08-06,824401,2026-08-06T17:10:00Z,0.5009,0.53,0.5155,3.9,3.9,7.7,7.5,0.97,-0.13,125.2,-0.07,0,1,,0.11-best-of-board,0
2026-08-06,824481,2026-08-06T16:40:00Z,0.525,0.6018,0.5634,4.9,4.7,9.6,9.5,1.04,0.16,29.2,1.24,1,1,,0.11-best-of-board,1
2026-08-06,824664,2026-08-06T18:20:00Z,0.5151,0.4827,0.4989,4.5,4.3,8.7,7.5,1.02,-1.62,101.0,-0.08,0,1,,0.11-best-of-board,1
2026-08-06,824729,2026-08-06T23:10:00Z,0.5536,0.6248,0.5892,4.8,4.2,9.0,9.0,1.06,1.23,99.2,0.92,0,1,,0.11-best-of-board,1
2026-08-06,824804,2026-08-06T16:35:00Z,0.5932,0.6354,0.6143,5.2,4.1,9.3,9.5,1.0,1.6,46.0,0.26,1,0,,0.11-best-of-board,0
2026-08-06,824885,2026-08-06T23:15:00Z,0.5568,0.574,0.5654,4.8,4.1,8.9,9.0,1.0,0.4,78.2,0.43,0,1,,0.11-best-of-board,1
2026-08-06,825053,2026-08-07T01:40:00Z,0.5213,0.5,0.5107,4.9,4.7,9.6,9.0,1.05,0.12,13.0,-0.51,0,1,,0.11-best-of-board,0
2026-08-07,822699,2026-08-07T22:45:00Z,0.5865,0.5248,0.5556,5.3,4.2,9.5,9.0,0.99,0.8,30.0,-0.5,0,1,0.0086,0.14-watchlist,1
2026-08-07,822863,2026-08-08T00:15:00Z,0.4712,0.5761,0.5237,4.1,4.5,8.6,7.5,0.98,-0.46,127.1,-0.26,0,1,0.0119,0.14-watchlist,1
2026-08-07,823024,2026-08-08T00:15:00Z,0.5382,0.6061,0.5721,4.9,4.4,9.3,8.5,0.97,1.18,76.2,0.6,0,1,0.0131,0.14-watchlist,1
2026-08-07,823103,2026-08-08T01:45:00Z,0.4836,0.5173,0.5004,3.6,3.8,7.5,7.0,0.92,-0.29,117.1,0.18,0,1,0.0022,0.14-watchlist,0
2026-08-07,823266,2026-08-08T01:40:00Z,0.527,0.5213,0.5242,4.4,4.1,8.5,8.0,0.95,0.97,14.2,0.35,0,1,0.0154,0.14-watchlist,0
2026-08-07,823349,2026-08-07T22:40:00Z,0.5484,0.5536,0.551,4.5,4.0,8.5,8.0,0.97,0.26,34.1,-0.54,0,1,0.0056,0.14-watchlist,0
2026-08-07,823428,2026-08-07T22:40:00Z,0.5256,0.6619,0.5938,4.3,4.0,8.2,8.0,1.01,0.47,105.0,-0.58,0,1,0.0053,0.14-watchlist,0
2026-08-07,823515,2026-08-07T23:05:00Z,0.5319,0.5605,0.5462,4.7,4.2,8.9,8.0,1.03,1.12,75.0,0.32,0,1,0.0131,0.14-watchlist,1
2026-08-07,823750,2026-08-07T23:40:00Z,0.5832,0.611,0.5971,5.2,4.1,9.3,8.0,0.99,1.09,81.0,1.36,0,1,0.007,0.14-watchlist,0
2026-08-07,823836,2026-08-07T23:10:00Z,0.5654,0.5823,0.5739,4.5,3.7,8.2,8.5,0.95,0.6,4.2,0.36,1,1,0.0116,0.14-watchlist,0
2026-08-07,824566,2026-08-07T23:40:00Z,0.4947,0.4321,0.4634,4.4,4.4,8.9,7.5,1.03,-1.54,65.0,0.14,0,1,0.0053,0.14-watchlist,0
2026-08-07,824727,2026-08-07T23:10:00Z,0.6427,0.7044,0.6736,5.5,3.7,9.2,8.5,1.06,1.35,73.2,2.76,1,1,0.0079,0.14-watchlist,1
2026-08-07,825051,2026-08-08T01:40:00Z,0.4747,0.3823,0.4285,5.0,5.4,10.4,9.0,1.05,-0.36,99.0,-0.15,0,1,0.0068,0.14-watchlist,1
2026-08-08,822701,2026-08-08T22:45:00Z,0.5447,0.427,0.4859,4.7,4.2,8.9,8.5,0.99,-0.58,64.0,-0.49,0,1,0.0051,0.15-daily-pick,1
2026-08-08,822864,2026-08-08T23:15:00Z,0.5253,0.5772,0.5512,4.2,3.9,8.2,7.5,0.98,0.14,113.2,-0.23,1,1,0.005,0.15-daily-pick,1
2026-08-08,823021,2026-08-08T23:15:00Z,0.5113,0.5894,0.5504,4.8,4.6,9.5,8.5,0.97,0.6,108.1,0.61,0,1,0.0064,0.15-daily-pick,0
2026-08-08,823102,2026-08-09T01:50:00Z,0.4892,0.5203,0.5048,3.8,3.9,7.7,7.0,0.92,0.12,91.2,0.21,0,1,0.0087,0.15-daily-pick,0
2026-08-08,823267,2026-08-08T23:15:00Z,0.4869,0.5228,0.5048,4.0,4.2,8.2,8.0,0.95,-0.24,108.2,0.31,0,1,0.0022,0.15-daily-pick,1
2026-08-08,823348,2026-08-08T22:40:00Z,0.5456,0.5346,0.5401,4.6,4.2,8.8,9.0,0.97,-0.14,5.0,-0.46,0,1,0.0041,0.15-daily-pick,1
2026-08-08,823426,2026-08-08T22:05:00Z,0.5326,0.6019,0.5673,4.9,4.4,9.3,9.5,1.01,0.37,30.2,-0.57,0,1,0.0104,0.15-daily-pick,0
2026-08-08,823514,2026-08-08T19:05:00Z,0.4767,0.4339,0.4553,4.1,4.4,8.6,7.5,1.03,-0.93,73.2,0.32,0,1,0.0072,0.15-daily-pick,1
2026-08-08,823752,2026-08-08T23:10:00Z,0.5285,0.5613,0.5449,4.9,4.5,9.3,8.0,0.99,-0.45,62.1,1.3,0,1,0.0073,0.15-daily-pick,1
2026-08-08,823834,2026-08-08T20:10:00Z,0.5409,0.5919,0.5664,4.1,3.6,7.7,7.5,0.95,-0.33,99.1,0.41,1,1,0.0062,0.15-daily-pick,1
2026-08-08,824079,2026-08-08T23:10:00Z,0.4061,0.3996,0.4028,4.2,5.4,9.5,9.5,1.03,-0.72,52.2,-1.43,0,1,0.0059,0.15-daily-pick,1
2026-08-08,824565,2026-08-08T23:15:00Z,0.5284,0.454,0.4912,4.6,4.3,8.9,7.5,1.03,-0.64,110.0,0.08,0,1,0.0059,0.15-daily-pick,1
2026-08-08,824726,2026-08-08T20:10:00Z,0.6264,0.6968,0.6616,5.3,3.8,9.0,9.0,1.06,0.61,66.2,2.83,1,1,0.0124,0.15-daily-pick,0
2026-08-08,825049,2026-08-09T00:10:00Z,0.4539,0.3813,0.4176,4.5,5.0,9.5,8.5,1.05,-0.59,78.2,-0.14,0,1,0.0054,0.15-daily-pick,0
2026-08-09,822700,2026-08-09T16:15:00Z,0.5673,0.5023,0.5348,5.2,4.3,9.5,9.0,0.99,0.5,59.0,-0.44,0,1,0.0071,0.15-daily-pick,1
2026-08-09,822862,2026-08-09T18:35:00Z,0.5297,0.5393,0.5345,4.3,4.0,8.2,8.0,0.98,0.13,25.1,-0.15,1,1,0.0162,0.15-daily-pick,0
2026-08-09,823020,2026-08-09T18:15:00Z,0.5376,0.6012,0.5694,4.8,4.4,9.2,9.0,0.97,1.34,107.2,0.6,0,1,0.003,0.15-daily-pick,1
2026-08-09,823104,2026-08-09T20:10:00Z,0.4959,0.5012,0.4985,3.9,3.9,7.8,7.5,0.92,0.37,84.1,0.22,0,1,0.0072,0.15-daily-pick,0
2026-08-09,823190,2026-08-09T20:05:00Z,0.4657,0.4664,0.466,3.8,4.1,7.9,7.5,0.94,-0.37,74.0,-0.54,0,1,0.0105,0.15-daily-pick,0
2026-08-09,823345,2026-08-09T17:35:00Z,0.5474,0.569,0.5582,4.6,4.1,8.7,8.0,0.97,0.18,56.0,-0.45,0,1,0.0069,0.15-daily-pick,0
2026-08-09,823425,2026-08-09T17:35:00Z,0.5596,0.6713,0.6155,4.7,4.0,8.7,8.5,1.01,1.21,37.0,-0.59,0,1,0.0108,0.15-daily-pick,1
2026-08-09,823513,2026-08-09T17:35:00Z,0.5487,0.565,0.5568,4.6,4.0,8.6,8.5,1.03,1.29,108.0,0.32,0,1,0.0142,0.15-daily-pick,0
2026-08-09,823751,2026-08-09T18:10:00Z,0.6081,0.6968,0.6525,5.0,3.7,8.7,7.0,0.99,1.68,77.2,1.32,0,1,0.0082,0.15-daily-pick,1
2026-08-09,823835,2026-08-09T17:40:00Z,0.5794,0.5723,0.5758,4.6,3.7,8.3,8.5,0.95,0.91,45.0,0.43,1,1,0.0069,0.15-daily-pick,1
2026-08-09,824078,2026-08-09T18:10:00Z,0.446,0.4012,0.4236,4.3,5.0,9.3,10.5,1.03,0.21,31.0,-1.38,0,1,0.0137,0.15-daily-pick,0
2026-08-09,824564,2026-08-09T18:10:00Z,0.5485,0.4495,0.499,4.7,4.1,8.8,8.5,1.03,0.1,118.2,0.15,0,1,0.0176,0.15-daily-pick,1
2026-08-09,824724,2026-08-09T17:35:00Z,0.6033,0.6801,0.6417,5.1,3.8,8.9,9.5,1.06,0.22,35.0,2.77,1,1,0.0073,0.15-daily-pick,0
2026-08-09,825050,2026-08-09T20:10:00Z,0.4898,0.427,0.4584,4.6,4.8,9.4,9.0,1.05,0.25,117.0,-0.15,0,1,0.0034,0.15-daily-pick,1
2026-08-10,822780,2026-08-10T23:07:00Z,0.3907,0.4149,0.4028,3.7,4.8,8.5,8.5,1.0,-1.92,80.0,-0.86,0,1,0.0065,0.15-daily-pick,1
2026-08-10,823018,2026-08-10T23:45:00Z,0.5306,0.476,0.5033,4.7,4.3,9.1,9.0,0.97,1.0,40.0,0.08,0,1,0.0047,0.15-daily-pick,0
2026-08-10,823189,2026-08-11T01:45:00Z,0.4797,0.4183,0.449,4.0,4.3,8.3,8.5,0.94,0.11,11.2,-0.33,0,1,0.0033,0.15-daily-pick,0
2026-08-10,823265,2026-08-11T01:40:00Z,0.4836,0.4772,0.4804,3.9,4.1,7.9,7.5,0.95,0.08,50.0,-0.16,0,1,0.0087,0.15-daily-pick,1
2026-08-10,823675,2026-08-10T23:40:00Z,0.4665,0.4827,0.4746,4.5,4.8,9.3,8.5,0.99,-0.97,41.0,-0.71,0,1,0.0022,0.15-daily-pick,1
2026-08-10,823918,2026-08-11T02:10:00Z,0.5946,0.7076,0.6511,5.1,3.9,9.0,7.5,1.0,0.81,102.2,1.35,0,0,0.0023,0.15-daily-pick,1
2026-08-10,823998,2026-08-11T01:38:00Z,0.5207,0.4838,0.5022,4.4,4.1,8.5,8.0,1.0,0.25,128.2,-0.14,0,1,0.0049,0.15-daily-pick,0
2026-08-10,824887,2026-08-10T23:15:00Z,0.5367,0.5772,0.5569,4.5,4.1,8.6,8.5,1.0,-0.42,74.1,0.28,0,1,0.0102,0.15-daily-pick,0
2026-08-10,824969,2026-08-11T01:40:00Z,0.4797,0.4087,0.4442,4.7,5.1,9.8,10.0,1.02,-0.2,75.0,-1.69,0,1,0.0143,0.15-daily-pick,0
2026-08-10,825048,2026-08-11T01:40:00Z,0.52,0.6434,0.5817,4.9,4.6,9.5,8.5,1.05,0.49,29.2,0.77,0,1,0.013,0.15-daily-pick,1
